,value,object_id,create_time,disk_index
0,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 17:00:00,0
1,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 18:00:00,0
2,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 19:00:00,0
3,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 20:00:00,0
4,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 21:00:00,0
5,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 22:00:00,0
6,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/7/2019 23:00:00,0
7,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 00:00:00,0
8,2,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 01:00:00,0
9,1,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 02:00:00,0
10,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 03:00:00,0
11,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 04:00:00,0
12,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 05:00:00,0
13,3,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 06:00:00,0
14,1,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 07:00:00,0
15,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 08:00:00,0
16,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 09:00:00,0
17,1,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 10:00:00,0
18,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 11:00:00,0
19,1,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 12:00:00,0
20,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 13:00:00,0
21,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 14:00:00,0
22,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 15:00:00,0
23,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 16:00:00,0
24,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 17:00:00,0
25,1,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 18:00:00,0
26,1,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 19:00:00,0
27,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 20:00:00,0
28,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 21:00:00,0
29,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 22:00:00,0
30,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/8/2019 23:00:00,0
31,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 00:00:00,0
32,3,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 01:00:00,0
33,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 02:00:00,0
34,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 03:00:00,0
35,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 04:00:00,0
36,1,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 05:00:00,0
37,2,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 06:00:00,0
38,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 07:00:00,0
39,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 08:00:00,0
40,4,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 09:00:00,0
41,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 10:00:00,0
42,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 11:00:00,0
43,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 12:00:00,0
44,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 13:00:00,0
45,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 14:00:00,0
46,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 15:00:00,0
47,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 16:00:00,0
48,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 17:00:00,0
49,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 18:00:00,0
50,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 19:00:00,0
51,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 20:00:00,0
52,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 21:00:00,0
53,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 22:00:00,0
54,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/9/2019 23:00:00,0
55,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 00:00:00,0
56,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 01:00:00,0
57,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 02:00:00,0
58,2,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 03:00:00,0
59,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 04:00:00,0
60,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 05:00:00,0
61,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 06:00:00,0
62,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 07:00:00,0
63,0,01041fbb-2d52-1db1-4be8-1e4b945e6c85,8/10/2019 08:00:00,0
